"","YEAR","SEASON","BOX","ELEVATION","NEST.TYPE","NEST.ID","M.RFID","M.ID","M.TOIC","F.RFID","F.ID","F.TOIC","FIRST.EGG","J.FIRST.EGG","CLUTCH","BROOD","MEANMASS","CV","NOTES"
"162",2016,"15_16","29-6","L","INITIAL","N_288","0700EE28B9","B_427","9/18/2015","0700EE3386","B_223","1/14/2015","5/15/2016",136,8,8,12.785,0.0454003269797167,""
"163",2016,"15_16","3","L","INITIAL","N_290","0700EE1A6C","B_670","6/18/2016","0700EDAD4A","B_671","6/18/2016","5/12/2016",133,6,3,12.6966666666667,0.0271163062928335,""
"164",2016,"15_16","30-2","L","INITIAL","N_291","0700EE2471","B_30","9/3/2014","0700EE052C","B_313","8/19/2015","5/18/2016",139,9,7,11.44,0.0391376783824802,""
"165",2016,"15_16","31","L","INITIAL","N_292","0700EDD8B9","B_563","11/14/2015","","","","5/25/2016",146,7,6,12.3233333333333,0.037312271214796,""
"166",2016,"15_16","37","L","INITIAL","N_297","0700ED9C83","B_76","11/3/2014","0700EDED2A","B_77","11/3/2014","5/16/2016",137,9,8,12.55125,0.059797387049653,""
"167",2016,"15_16","40","L","INITIAL","N_301","0700EDA70B","B_372","9/4/2015","0700EDADAF","B_315","8/19/2015","5/22/2016",143,7,7,12.95,0.0517816135309467,""
"168",2016,"15_16","42","L","INITIAL","N_303","03000365FE","B_238","6/22/2015","0700EE3087","B_134","11/19/2014","5/18/2016",139,7,6,12.5466666666667,0.0627449445380704,""
"169",2016,"15_16","45","L","INITIAL","N_307","0300035196","B_12","8/27/2014","0700EE2F01","B_67","10/29/2014","5/24/2016",145,9,8,12.1725,0.0641491688370973,""
"170",2016,"15_16","46","L","INITIAL","N_308","0700EDD5E8","B_672","6/20/2016","0700EE1D35","B_368","9/4/2015","5/16/2016",137,8,5,9.296,0.0846163858853656,""
"171",2016,"15_16","47","L","INITIAL","N_309","0700EDF56D","B_332","8/24/2015","","","","6/1/2016",153,7,6,12.025,0.0418742192258998,""
"172",2016,"15_16","48","L","INITIAL","N_310","0700ED977D","B_682","6/24/2016","0700EDCD28","B_680","6/24/2016","5/22/2016",143,10,9,12.2277777777778,0.050627956297706,""
"173",2016,"15_16","5","L","INITIAL","N_312","0700ED9C8F","B_686","6/27/2016","0700ED915E","B_685","6/27/2016","5/27/2016",148,8,8,12.33625,0.0495301590713168,""
"174",2016,"15_16","51","L","INITIAL","N_313","0700EDD85C","B_716","7/11/2016","0700EE3D35","B_715","7/11/2016","6/9/2016",161,6,5,11.774,0.055080804754137,""
"175",2016,"15_16","55-3","L","INITIAL","N_314","0300028599","B_176","12/26/2014","0700EE0D03","B_684","6/26/2016","5/27/2016",148,7,7,12.5214285714286,0.0500264952345476,""
"176",2016,"15_16","57","L","INITIAL","N_315","0700EDFCB1","B_440","9/23/2015","03000298F3","B_103","11/10/2014","5/18/2016",139,9,8,12.34375,0.0414601620939769,""
"177",2016,"15_16","58-2","L","INITIAL","N_316","0700EDF8B6","B_451","10/21/2015","0300025B42","B_291","7/2/2015","5/23/2016",144,4,NA,NA,NA,"ABANDONED"
"178",2016,"15_16","59","L","INITIAL","N_317","0700EDD17B","B_439","9/23/2015","0700EE4194","B_693","7/1/2016","6/1/2016",153,7,4,12.385,0.0290412418189579,""
"179",2016,"15_16","61-1","L","INITIAL","N_319","030001F598","B_23","9/3/2014","0700EDA90A","B_665","2/12/2016","5/22/2016",143,8,8,11.93125,0.0406311893838257,""
"180",2016,"15_16","66","L","INITIAL","N_320","030001AA57","B_115","11/14/2014","0700EE29F8","B_692","6/30/2016","5/30/2016",151,8,8,12.065,0.0415108069650466,""
"181",2016,"15_16","70","L","INITIAL","N_322","0700EDEF57","B_581","11/14/2015","0700EDC408","B_710","7/7/2016","5/19/2016",140,10,8,11.9775,0.0677757253377842,""
