"","YEAR","SEASON","BOX","ELEVATION","NEST.TYPE","NEST.ID","M.RFID","M.ID","M.TOIC","F.RFID","F.ID","F.TOIC","FIRST.EGG","J.FIRST.EGG","CLUTCH","BROOD","MEANMASS","CV","NOTES"
"144",2017,"16_17","16","H","INITIAL","N_357","0700EDFD30","B_744","11/14/2016","","","","6/18/2017",169,NA,NA,NA,NA,"ABANDONED AFTER LAYING 1 EGG"
"145",2017,"16_17","17-1","H","INITIAL","N_358","0700EE0329","B_706","7/6/2016","0700ED9947","B_776","12/7/2016","6/16/2017",167,5,3,11.91,0.0302616646363394,""
"146",2017,"16_17","17-2","H","INITIAL","N_359","0700EDDE2F","B_243","6/24/2015","0700EE0395","B_721","10/26/2016","6/10/2017",161,NA,NA,NA,NA,"BOX FELL AFTER LAYING 1 EGG PAIR RENESTED IN BOX 20 H"
"147",2017,"16_17","18A","H","INITIAL","N_360","0700EDDE6B","B_323","8/21/2015","0700EDF8A1","B_244","6/24/2015","6/7/2017",158,6,4,11.6175,0.0585634967556348,""
"148",2017,"16_17","20A","H","INITIAL","N_363","0700EDF321","B_762","11/30/2016","0700EDF35F","B_154","12/22/2014","6/12/2017",163,6,6,13.43,0.0576111909894682,""
"149",2017,"16_17","21","H","INITIAL","N_364","0700EDF64A","B_17","8/29/2014","0700EDFC8B","B_699","7/5/2016","6/15/2017",166,7,6,11.2216666666667,0.0463472098986119,""
"150",2017,"16_17","21-1","H","INITIAL","N_365","011017A7DF","B_192","1/1/2015","0700EDB70E","B_748","11/21/2016","6/9/2017",160,6,5,12.392,0.024352652045391,""
"151",2017,"16_17","22","H","INITIAL","N_366","0700EE4300","B_722","10/26/2016","0700EE2C5B","B_279","7/1/2015","6/7/2017",158,8,5,12.282,0.0603343360464259,""
"152",2017,"16_17","22-1","H","INITIAL","N_368","","","","0700EE3311","B_698","7/5/2016","6/16/2017",167,6,3,12.49,0.0544729822039201,""
"153",2017,"16_17","24","H","INITIAL","N_372","0700ED9AAB","B_41","9/5/2014","0700EE355F","B_717","7/27/2016","6/8/2017",159,6,4,12.6175,0.0731679365890436,""
"154",2017,"16_17","28","H","INITIAL","N_377","0700EE0D3C","B_729","11/7/2016","0700ED9084","B_724","10/26/2016","6/8/2017",159,NA,NA,NA,NA,"INCUBATION NEVER INITIATED ABANDONED?"
"155",2017,"16_17","28-1A","H","INITIAL","N_378","0700EDA16F","B_696","7/4/2016","0110179C34","B_955","7/9/2017","6/11/2017",162,6,6,12.1183333333333,0.0471833661388582,""
"156",2017,"16_17","29-1","H","INITIAL","N_379","0700EDD65F","B_751","11/21/2016","0700EDCB97","B_732","11/7/2016","6/16/2017",167,6,5,11.728,0.0665714222177157,""
"157",2017,"16_17","29-3","H","INITIAL","N_380","0110179BBC","B_956","7/11/2017","UNBANDED","","","6/9/2017",160,5,4,12.4975,0.0222743149134335,""
